timestamp,ea-total,context_ea-total,date (America/Bogota)
1645570800000,247.7899999999995,{},2022-02-22 18:00:00-05:00
1645567200000,191.26000000000715,{},2022-02-22 17:00:00-05:00
1645563600000,315.5100000000011,{},2022-02-22 16:00:00-05:00
1645560000000,258.70999999999947,{},2022-02-22 15:00:00-05:00
1645556400000,259.2800000000002,{},2022-02-22 14:00:00-05:00
1645552800000,261.28999999999155,{},2022-02-22 13:00:00-05:00
1645549200000,258.41000000000656,{},2022-02-22 12:00:00-05:00
1645545600000,152.00000000000364,{},2022-02-22 11:00:00-05:00
1645542000000,78.1999999999997,{},2022-02-22 10:00:00-05:00
1645538400000,73.52000000000214,{},2022-02-22 09:00:00-05:00
1645534800000,72.32999999999674,{},2022-02-22 08:00:00-05:00
1645531200000,68.28999999998962,{},2022-02-22 07:00:00-05:00
1645527600000,68.58000000000175,{},2022-02-22 06:00:00-05:00
1645524000000,59.94000000000358,{},2022-02-22 05:00:00-05:00
1645520400000,4.4899999999984175,{},2022-02-22 04:00:00-05:00
1645516800000,5.640000000001464,{},2022-02-22 03:00:00-05:00
1645513200000,4.0600000000006276,{},2022-02-22 02:00:00-05:00
1645509600000,6.139999999996462,{},2022-02-22 01:00:00-05:00
1645506000000,3.8700000000010277,{},2022-02-22 00:00:00-05:00
1645502400000,4.719999999995707,{},2022-02-21 23:00:00-05:00
1645498800000,32.730000000010705,{},2022-02-21 22:00:00-05:00
1645495200000,67.64999999999645,{},2022-02-21 21:00:00-05:00
1645491600000,72.57999999999595,{},2022-02-21 20:00:00-05:00
1645488000000,99.22999999999956,{},2022-02-21 19:00:00-05:00
1645484400000,112.02000000000373,{},2022-02-21 18:00:00-05:00
1645480800000,88.59000000000697,{},2022-02-21 17:00:00-05:00
1645477200000,134.45999999999606,{},2022-02-21 16:00:00-05:00
1645473600000,111.67999999999688,{},2022-02-21 15:00:00-05:00
1645470000000,109.95000000000414,{},2022-02-21 14:00:00-05:00
1645466400000,110.4199999999961,{},2022-02-21 13:00:00-05:00
1645462800000,216.72000000000276,{},2022-02-21 12:00:00-05:00
1645459200000,242.44000000000176,{},2022-02-21 11:00:00-05:00
1645455600000,252.59999999999036,{},2022-02-21 10:00:00-05:00
1645452000000,163.0400000000095,{},2022-02-21 09:00:00-05:00
1645448400000,91.54999999999325,{},2022-02-21 08:00:00-05:00
1645444800000,69.41000000001031,{},2022-02-21 07:00:00-05:00
1645441200000,67.49999999999864,{},2022-02-21 06:00:00-05:00
1645437600000,37.44999999999925,{},2022-02-21 05:00:00-05:00
1645434000000,4.529999999994061,{},2022-02-21 04:00:00-05:00
1645430400000,4.670000000000982,{},2022-02-21 03:00:00-05:00
1645426800000,4.52000000000362,{},2022-02-21 02:00:00-05:00
1645423200000,4.460000000002992,{},2022-02-21 01:00:00-05:00
1645419600000,4.529999999997699,{},2022-02-21 00:00:00-05:00
1645416000000,4.349999999995362,{},2022-02-20 23:00:00-05:00
1645412400000,4.620000000005803,{},2022-02-20 22:00:00-05:00
1645408800000,22.859999999993647,{},2022-02-20 21:00:00-05:00
1645405200000,68.38000000000056,{},2022-02-20 20:00:00-05:00
1645401600000,98.34000000000015,{},2022-02-20 19:00:00-05:00
1645398000000,89.62999999999954,{},2022-02-20 18:00:00-05:00
1645394400000,72.97000000000321,{},2022-02-20 17:00:00-05:00
1645390800000,73.239999999995,{},2022-02-20 16:00:00-05:00
1645387200000,92.80000000000234,{},2022-02-20 15:00:00-05:00
1645383600000,394.0799999999988,{},2022-02-20 14:00:00-05:00
1645380000000,389.73000000000536,{},2022-02-20 13:00:00-05:00
1645376400000,217.6399999999967,{},2022-02-20 12:00:00-05:00
1645372800000,84.10999999999535,{},2022-02-20 11:00:00-05:00
1645369200000,61.69000000000244,{},2022-02-20 10:00:00-05:00
1645365600000,72.24999999999523,{},2022-02-20 09:00:00-05:00
1645362000000,69.62000000000626,{},2022-02-20 08:00:00-05:00
1645358400000,66.29999999999961,{},2022-02-20 07:00:00-05:00
1645354800000,66.3199999999988,{},2022-02-20 06:00:00-05:00
1645351200000,13.599999999994338,{},2022-02-20 05:00:00-05:00
1645347600000,3.1400000000089676,{},2022-02-20 04:00:00-05:00
1645344000000,4.279999999999063,{},2022-02-20 03:00:00-05:00
1645340400000,3.9699999999952524,{},2022-02-20 02:00:00-05:00
1645336800000,3.190000000001419,{},2022-02-20 01:00:00-05:00
1645333200000,5.280000000006112,{},2022-02-20 00:00:00-05:00
1645329600000,3.589999999997872,{},2022-02-19 23:00:00-05:00
1645326000000,7.309999999994602,{},2022-02-19 22:00:00-05:00
1645322400000,67.43000000000211,{},2022-02-19 21:00:00-05:00
1645318800000,71.42000000000178,{},2022-02-19 20:00:00-05:00
1645315200000,73.54000000000406,{},2022-02-19 19:00:00-05:00
1645311600000,224.38999999999942,{},2022-02-19 18:00:00-05:00
1645308000000,344.07000000000005,{},2022-02-19 17:00:00-05:00
1645304400000,371.6499999999919,{},2022-02-19 16:00:00-05:00
1645300800000,393.7500000000065,{},2022-02-19 15:00:00-05:00
1645297200000,402.699999999998,{},2022-02-19 14:00:00-05:00
1645293600000,383.2100000000057,{},2022-02-19 13:00:00-05:00
1645290000000,73.40999999998883,{},2022-02-19 12:00:00-05:00
1645286400000,73.86000000000013,{},2022-02-19 11:00:00-05:00
1645282800000,73.81000000000984,{},2022-02-19 10:00:00-05:00
1645279200000,74.32999999999629,{},2022-02-19 09:00:00-05:00
1645275600000,70.28000000000475,{},2022-02-19 08:00:00-05:00
1645272000000,68.31999999999482,{},2022-02-19 07:00:00-05:00
1645268400000,66.54999999999995,{},2022-02-19 06:00:00-05:00
1645264800000,4.780000000002474,{},2022-02-19 05:00:00-05:00
1645261200000,4.700000000000728,{},2022-02-19 04:00:00-05:00
1645257600000,4.540000000001783,{},2022-02-19 03:00:00-05:00
1645254000000,4.539999999998145,{},2022-02-19 02:00:00-05:00
1645250400000,4.48999999999387,{},2022-02-19 01:00:00-05:00
1645246800000,4.460000000003902,{},2022-02-19 00:00:00-05:00
1645243200000,4.510000000005903,{},2022-02-18 23:00:00-05:00
1645239600000,22.749999999993747,{},2022-02-18 22:00:00-05:00
1645236000000,68.10999999999422,{},2022-02-18 21:00:00-05:00
1645232400000,72.39000000000942,{},2022-02-18 20:00:00-05:00
1645228800000,72.94999999999993,{},2022-02-18 19:00:00-05:00
1645225200000,73.74999999999886,{},2022-02-18 18:00:00-05:00
1645221600000,267.35999999999797,{},2022-02-18 17:00:00-05:00
1645218000000,327.4200000000012,{},2022-02-18 16:00:00-05:00
1645214400000,305.2700000000002,{},2022-02-18 15:00:00-05:00
1645210800000,318.1399999999993,{},2022-02-18 14:00:00-05:00
1645207200000,328.5699999999956,{},2022-02-18 13:00:00-05:00
1645203600000,366.4200000000063,{},2022-02-18 12:00:00-05:00
1645200000000,117.27999999998866,{},2022-02-18 11:00:00-05:00
1645196400000,71.5900000000077,{},2022-02-18 10:00:00-05:00
1645192800000,73.47999999999757,{},2022-02-18 09:00:00-05:00
1645189200000,71.23000000000098,{},2022-02-18 08:00:00-05:00
1645185600000,68.84000000000316,{},2022-02-18 07:00:00-05:00
1645182000000,67.48999999999864,{},2022-02-18 06:00:00-05:00
1645178400000,60.360000000002344,{},2022-02-18 05:00:00-05:00
1645174800000,4.51999999999407,{},2022-02-18 04:00:00-05:00
1645171200000,4.570000000001528,{},2022-02-18 03:00:00-05:00
1645167600000,4.499999999995907,{},2022-02-18 02:00:00-05:00
1645164000000,4.39000000000425,{},2022-02-18 01:00:00-05:00
1645160400000,4.1900000000036925,{},2022-02-18 00:00:00-05:00
1645156800000,4.229999999996153,{},2022-02-17 23:00:00-05:00
1645153200000,28.59000000000367,{},2022-02-17 22:00:00-05:00
1645149600000,67.59999999999633,{},2022-02-17 21:00:00-05:00
1645146000000,71.72000000000872,{},2022-02-17 20:00:00-05:00
1645142400000,183.09999999999673,{},2022-02-17 19:00:00-05:00
1645138800000,359.01999999999924,{},2022-02-17 18:00:00-05:00
1645135200000,378.75999999999686,{},2022-02-17 17:00:00-05:00
1645131600000,392.9699999999977,{},2022-02-17 16:00:00-05:00
1645128000000,402.3100000000059,{},2022-02-17 15:00:00-05:00
1645124400000,404.0899999999937,{},2022-02-17 14:00:00-05:00
1645120800000,407.9600000000057,{},2022-02-17 13:00:00-05:00
1645117200000,130.10999999999495,{},2022-02-17 12:00:00-05:00
1645113600000,75.01000000000062,{},2022-02-17 11:00:00-05:00
1645110000000,74.49999999999505,{},2022-02-17 10:00:00-05:00
1645106400000,74.1400000000113,{},2022-02-17 09:00:00-05:00
1645102800000,72.19999999999254,{},2022-02-17 08:00:00-05:00
1645099200000,68.61000000000621,{},2022-02-17 07:00:00-05:00
1645095600000,70.43999999999926,{},2022-02-17 06:00:00-05:00
1645092000000,43.16000000000025,{},2022-02-17 05:00:00-05:00
1645088400000,4.670000000005871,{},2022-02-17 04:00:00-05:00
1645084800000,4.7299999999977445,{},2022-02-17 03:00:00-05:00
1645081200000,4.7599999999957845,{},2022-02-17 02:00:00-05:00
1645077600000,4.629999999996812,{},2022-02-17 01:00:00-05:00
1645074000000,4.7899999999974625,{},2022-02-17 00:00:00-05:00
1645070400000,5.050000000003934,{},2022-02-16 23:00:00-05:00
1645066800000,18.509999999999536,{},2022-02-16 22:00:00-05:00
